JerseyNo,Date,Opp,TRB,AST,STL,PTS
2,2018-02-05,ORL,3,2,0,5
2,2018-02-07,HOU,0,0,0,0
2,2018-02-09,MIL,3,1,0,11
2,2018-02-13,TOR,7,1,0,15
2,2018-02-14,PHI,2,1,1,8
2,2018-02-23,NOP,3,0,1,6
2,2018-02-24,MEM,2,5,1,15
2,2018-02-27,PHI,1,0,0,2
2,2018-03-01,LAL,0,0,0,0
2,2018-03-03,DET,0,0,0,0
2,2018-03-05,PHO,0,0,0,0
2,2018-03-06,WAS,0,0,0,0
2,2018-03-08,PHI,3,2,0,9
2,2018-03-10,WAS,3,2,1,17
2,2018-03-12,POR,3,0,2,11
2,2018-03-14,SAC,1,2,1,22
2,2018-03-16,LAL,4,1,1,4
2,2018-03-19,DEN,3,2,0,23
2,2018-03-21,NYK,4,1,1,16
2,2018-03-23,OKC,4,2,0,14
2,2018-03-25,IND,1,1,3,8
2,2018-03-27,CLE,1,0,0,6
2,2018-03-29,CHI,1,0,0,8
2,2018-03-31,BRK,1,0,0,0
2,2018-04-03,ATL,2,1,1,9
2,2018-04-04,ATL,3,0,1,11
2,2018-04-06,NYK,4,0,2,10
2,2018-04-09,OKC,0,1,1,3
2,2018-04-11,TOR,3,0,1,32
16,2017-10-18,ORL,4,8,1,11
16,2017-10-21,IND,4,8,0,14
16,2017-10-23,ATL,7,5,3,8
16,2017-10-25,SAS,9,4,1,21
16,2017-10-28,BOS,5,2,1,16
16,2017-10-30,MIN,7,1,1,2
16,2017-11-01,CHI,0,0,0,0
16,2017-11-03,DEN,10,4,2,15
16,2017-11-05,LAC,2,5,0,14
16,2017-11-06,GSW,9,6,3,21
16,2017-11-08,PHO,7,5,2,15
16,2017-11-10,UTA,3,2,2,2
16,2017-11-12,DET,3,2,1,10
16,2017-11-15,WAS,2,2,0,5
16,2017-11-17,WAS,5,4,0,20
16,2017-11-19,IND,4,6,0,10
16,2017-11-22,BOS,2,4,0,4
16,2017-11-24,MIN,6,8,0,5
16,2017-11-26,CHI,7,6,2,15
16,2017-11-28,CLE,3,3,1,14
16,2017-11-29,NYK,4,1,1,9
16,2017-12-01,CHO,6,4,1,8
16,2017-12-03,GSW,5,0,1,5
16,2017-12-06,SAS,3,6,0,9
16,2017-12-09,BRK,7,3,1,17
16,2017-12-11,MEM,3,3,2,11
16,2017-12-13,POR,10,8,0,10
16,2017-12-15,CHO,5,5,2,11
16,2017-12-16,LAC,3,1,0,3
16,2017-12-18,ATL,0,0,0,0
16,2017-12-20,BOS,0,0,0,0
16,2017-12-22,DAL,0,0,0,0
16,2017-12-23,NOP,1,0,1,7
16,2017-12-26,ORL,0,0,0,0
16,2017-12-29,BRK,0,0,0,0
16,2017-12-30,ORL,0,0,0,0
16,2018-01-03,DET,4,1,1,16
16,2018-01-05,NYK,4,6,1,4
16,2018-01-07,UTA,11,3,0,13
16,2018-01-09,TOR,3,2,0,4
16,2018-01-10,IND,0,0,0,0
16,2018-01-14,MIL,4,8,2,4
16,2018-01-15,CHI,2,3,1,8
16,2018-01-17,MIL,7,6,0,9
16,2018-01-19,BRK,4,2,1,8
16,2018-01-20,CHO,6,7,0,22
16,2018-01-22,HOU,3,4,0,10
16,2018-01-25,SAC,8,4,1,4
16,2018-01-27,CHO,10,3,1,10
16,2018-01-29,DAL,0,6,1,6
16,2018-01-31,CLE,4,1,1,8
16,2018-02-02,PHI,2,3,0,5
16,2018-02-03,DET,5,7,2,18
16,2018-02-05,ORL,3,1,1,6
16,2018-02-07,HOU,2,3,0,9
